Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
referee,ZPIX1F3K,14016,50,4,0,1.4,1.3,1,5,250,36.92880498063471,0.9730524823069572,86.34318942057294,14.681383391594684,3.99677307602576,5.848630578864454,76.69330418955508
referee,ASHKFAPH,20000,50,4,0,1.4,1.3,1,5,250,37.22707249236887,0.975929299890995,84.71707214626738,12.600091545098952,3.9555536666671194,5.773084622556587,75.93016997341726
referee,2L1WZ72K,576,0,4,0,1.4,1.3,4,5,0,32.93490624553967,0.8883171012997627,92.85775087890626,21.635049146605816,8.265022772715936,5.992192109535748,87.81248153098386
referee,6YISO8GL,5184,0,4,0,1.4,1.3,4,5,0,36.32850762725053,0.9625564083456992,90.13211107373652,19.555731575259305,4.270869496449294,5.91992352912809,79.36161598794975
referee,7C2NMKFK,14016,0,4,0,1.4,1.3,4,5,0,37.03370667463347,0.9743934097886086,86.09402980324072,15.057852876738124,3.9861473014430806,5.836758381558639,76.39339423144082
referee,H8QM7Y8E,20000,0,4,0,1.4,1.3,4,5,0,37.32302831188428,0.9770016479492188,84.27745534215858,13.114636735647984,3.945640546431733,5.773739214409723,75.5599078785228
referee,K89I2IQL,576,0,4,0,1.4,1.3,4,5,10,33.15147893363915,0.8940556162595749,90.30444697868435,21.793271600510387,6.829849804725325,6.017865726273152,86.43807384319564
referee,1SWXRJBO,5184,0,4,0,1.4,1.3,4,5,10,36.37532432940598,0.9638357520103454,89.86048328872498,18.745674921494853,4.211200532741545,5.904029822530865,79.0898405636009
referee,NALI3AP0,14016,0,4,0,1.4,1.3,4,5,10,37.09509452643459,0.9747311091423034,85.76335263913005,14.02671575772988,3.974821525951095,5.79946294929913,76.38760424426287
referee,WDL2QG6G,20000,0,4,0,1.4,1.3,4,5,10,37.38182692976499,0.9771184599399568,84.08080283564819,12.059722546854069,3.941997060069562,5.722718756430044,75.67728785875718
referee,TPVL37QS,576,0,4,0,1.4,1.3,4,5,40,32.99581003232585,0.8934073978662491,92.85257293233995,21.73713095519148,6.800199713106784,6.01892466242284,86.4224484629512
referee,WHOQPKA9,5184,0,4,0,1.4,1.3,4,5,40,36.36334319570822,0.9634957575798034,89.86046997733405,18.63131260084168,4.210836760453651,5.898465092110335,79.18717050090027
referee,Q8A9EMHR,14016,0,4,0,1.4,1.3,4,5,40,37.09023130203373,0.9746621936559676,85.85015462480706,13.867132399827026,3.9739776322918674,5.793838880047584,76.41683862275421
referee,99MS8UH0,20000,0,4,0,1.4,1.3,4,5,40,37.37997000230642,0.977058463394642,84.07975486593365,11.91077212837484,3.940774035910063,5.715550065907926,75.70901901119534
