Sequence,Video ID,PSNR(dB),SSIM,Cbleed,Ringing,Blurring,VIF,Compression Ratio (%)
misato,8N767BBX,32.29376232969395,0.9433128297328949,103.17462451051317,12.317012755052474,4.193492287787991,12.8447656499164,56.33182188962805
misato,Y4CPOAB9,32.55262728567202,0.9494611352682114,101.67559612871334,11.196024684404053,4.141070113470483,12.662602347768775,55.66362197199
misato,OTEW0S3Q,29.396671280687077,0.6394026052951812,114.3899213565779,13.11344610983896,12.26115101344414,13.229772694026494,75.22805185578255
misato,1G05ARG0,31.844540247248382,0.9313978385925293,106.66233194685562,12.649569584766432,4.277351739555155,13.020278473025973,57.892305606395276
misato,2QEF8PB5,32.23968295331502,0.9458169385790824,104.38525225453309,8.927404544123734,4.0641481515193,12.55863655960648,55.26683086379213
misato,HD48GZDG,32.52458699400926,0.9488753643631935,101.7700313982928,11.338553166484205,4.147429329031857,12.69536372492284,55.70912646728926
misato,DFVHUK8R,32.34220719599275,0.9478423774242402,103.60061923828124,8.114030500554309,4.0391369184212556,12.324947755915641,54.694873680620894
misato,U7M87S44,29.828950771264882,0.7270992600917816,114.54798018422075,13.901404469158354,7.703555694299452,13.266378332368827,70.46710215882453
misato,DKC4UD3T,32.342806539283394,0.9478233832120896,103.63107650221838,8.20342223444496,4.038949082279903,12.350951161426185,54.71127021636285
misato,KEPCN0S4,29.509450120142006,0.6539688903093338,114.49488504171495,13.268454744834207,12.399259762816598,13.245289401684657,74.677187671752
misato,FXYTUOWT,32.22718245338455,0.9455753189325332,104.52885725188075,9.015189840939255,4.066838467642565,12.606391538065843,55.24134480669439
misato,ADD9H0O5,29.394875812192286,0.6397240340709687,115.01519709924766,13.12072667256949,12.183139462092548,13.229734525302215,75.23339305574474
misato,9JDAWEEX,32.47760210843321,0.9489085975289345,102.54323949170522,10.138951103085274,4.103869797707147,12.594480979134511,55.50466280435753
misato,CINTTOGP,32.28850445030653,0.9431255057454109,103.23126286530669,12.365370824712475,4.194868163270394,12.850913261156125,56.35919790978934
misato,OTAWHWXH,29.508271434214688,0.6537612703442574,114.62885426191167,13.280226509792767,12.429823066766698,13.244260716467341,74.72869074547033
misato,H13PDMQU,31.844862974865492,0.9309807768464089,107.00622195457176,12.598357395394006,4.278571162440618,12.993645532728909,58.11166141975416
misato,YUNR0CGY,31.60748529149206,0.9167731612920761,107.24720860821753,13.946489087709164,4.42301357298855,13.104817736464764,59.09593395622049
misato,NAO7ADW1,32.341320076205434,0.9478238525986672,103.58384820240161,8.116377697070108,4.038564131573455,12.326598406153542,54.69166263969687
misato,3XCZYJET,31.678951524425944,0.9188509193062783,106.71871867404508,13.383055836398274,4.392170203897222,13.059356124614201,58.76331309892946
misato,RGT0KRGC,31.681869228856684,0.9188684687018395,106.66604169680744,13.370840550116139,4.392839928774088,13.056109388663838,58.75444481070819
misato,95GL5EMG,31.683402051141993,0.9189341244101524,106.6620642349055,13.377234560810875,4.39314494461551,13.058619083558371,58.750544786593785
misato,JLYQ4O33,31.845533950470493,0.9314089855551719,106.67429729938267,12.642332215942172,4.278261956808414,13.017900427597732,57.891559734684584
misato,OTQ7KZO5,31.84914459268389,0.9310648605227471,107.0501946903936,12.573519826770424,4.2763116350007655,12.989440045492552,58.116812991315335
misato,KJ7LFWA4,29.38950568094459,0.6391098982095719,114.5168877580054,13.115663311738006,12.233102196279685,13.230156588380918,75.20189577833452
misato,KOO44OT9,29.497684782013483,0.6521671175956726,114.54128686824848,13.270551674737817,12.510104228202204,13.246840582400983,74.7740941056224
misato,13TXJYZ0,31.607732361144848,0.9167691680788994,107.23186628689237,13.94676654895445,4.423158471501377,13.103537889017485,59.09908810862421
misato,HQHRQORX,31.604379466796495,0.9166411113739014,107.24584982156644,13.955754637966978,4.424322152631539,13.106510514724787,59.104934984322476
misato,L3FIP7A9,32.23722231234191,0.9457400187849998,104.39488293426889,8.908926955654726,4.064263902318567,12.560690332433127,55.261856278738584
misato,D2GLIE8V,31.680728972015057,0.919037359058857,106.65492000626926,13.386193658072262,4.393246554680752,13.059921303530098,58.75391385118532
misato,NIF0RE4V,29.90780898264622,0.7363419681787491,114.83608551914541,13.990544042210383,7.318173800454417,13.275422999453454,69.9332539633126
misato,PRWP97KU,32.34101118653922,0.9477858304977417,103.64505807894484,8.205477926548507,4.039390219321631,12.353459976208839,54.70704782396669
duck,K3ZY740H,34.16667475062001,0.9554673743247986,80.78937815272953,15.585334356655405,4.003003698385773,9.27406020929784,67.17709364766979
duck,LNSD40X9,29.891427120662446,0.6929195627570153,103.0890804759838,14.786748535976423,14.009894545859392,9.549951093106994,80.13890280375072
duck,QEFSX5RF,34.27489364897131,0.9567319720983505,79.96633866946372,15.113519375368794,3.9764956360494366,9.207895613908182,67.24151673644465
duck,KDXDJ4P7,30.012610978066792,0.7003097268939018,105.17657581139078,14.918780512792392,12.808036955668559,9.560991754275975,79.31881053689173
duck,YMSDP78O,33.92460174313036,0.9480247503519058,83.35743679832174,15.932051024102456,4.05203802564699,9.298655933320479,68.1733823038144
duck,M3JFDMWI,34.30586769898379,0.9572939252853394,79.6963293668017,15.019683919184047,3.973012774015386,9.19515845952289,67.12788507760385
duck,VVS4M2IO,29.853357865492285,0.6902396294474602,102.09303107397756,14.732634289158362,14.73893845722205,9.546689480452677,80.24556877932721
duck,S48J08OM,30.046915085413666,0.6910890597105026,103.6563889407311,14.741412095578022,14.831382072596373,9.546726879179525,80.11861256484106
duck,EFJ2NLIL,30.019282650507424,0.7001069071888923,104.9510746334876,14.907516304742995,12.808269849430967,9.56061249196245,79.32831724072979
duck,OUZU0T57,32.77888710233133,0.9036517974734306,95.2025112111786,16.797409401609187,4.594501565274313,9.498780937339244,70.38217391895219
duck,DJPB6C81,33.903575359325785,0.947470021545887,83.56915115740738,15.962190615362552,4.056574724221523,9.30297443094136,68.21666814682169
duck,22W9ANRC,33.906404074529476,0.9475611802935601,83.47191946132328,15.961106158206883,4.05572843183726,9.302205332111626,68.21020181834673
duck,QTZ6VIGU,30.040063774217092,0.6909943908452988,103.40097923538778,14.737622690888484,14.88714689570353,9.54568190184542,80.14989493006345
duck,HLL4RARH,33.912186646710985,0.9477140885591507,83.48795542414162,15.950791310675505,4.054991924311266,9.301500345614713,68.20064454693508
duck,XDOC5R7O,32.77784457948813,0.9034813302755356,95.33956452064034,16.79486199884769,4.60194312157409,9.498087400334361,70.38529646662239
duck,8W6K1ETX,32.856550269229835,0.9072965255379677,95.32641581307875,16.713076318792705,4.490213432374144,9.465769106867288,70.3348995585767
duck,BOUEOS7H,32.833177038972515,0.9062865805625916,95.15287140118639,16.72262852680292,4.501501904301208,9.467917351466049,70.40178149561815
duck,IWC26BB3,32.80352916844381,0.9048219588398934,95.38642976948299,16.728699207991607,4.521763680168696,9.471742476851851,70.46345497257816
duck,BSTOCUOG,32.852903680452634,0.9071023866534234,95.3229769350405,16.70926133110413,4.492260586187137,9.465724135963214,70.33929261653377
duck,ZMFFESKV,34.27555815734338,0.9567541816830635,79.93084119405864,15.102720072189646,3.9766065825284795,9.207106459780093,67.23623242500277
duck,PX0XXFWH,29.997797041398126,0.6986018607020378,105.35373622926312,14.8940551977738,12.982106612395336,9.560569389789094,79.41591292010988
duck,T1QN1NF2,33.93133575248155,0.9482138726115227,83.21570426311722,15.921074243938662,4.050771523653285,9.297307984503604,68.15890733586951
duck,U8Q15FE1,32.780300529462345,0.9037918734550476,95.24579886429396,16.791880544369157,4.595292059333162,9.498812635834616,70.36919701537539
duck,GYBESX1A,32.80557298401586,0.9048539388179779,95.30479631196955,16.72239490787217,4.520168435153244,9.47252170621142,70.45495329926554
duck,F0O4WI12,34.16691324142342,0.9554677343368531,80.83287903284146,15.583989255452561,4.003912923374696,9.273131495949077,67.18331978017011
duck,98F9RSC7,32.86086941430247,0.9075306072831154,95.04227217279134,16.711268692769995,4.485146809909722,9.46652495659722,70.30737183569458
duck,QGKDV7C7,29.90133820929767,0.6943921911716461,103.25142768735525,14.787223952692221,13.857705220226258,9.550741927887087,79.9991024255685
duck,RTKFRGYI,33.83044681076692,0.9462859103083611,84.20186085792825,16.193775092373794,4.088398092486574,9.343324619020061,68.12712561585774
duck,RZBLZ3NA,34.29706146447744,0.9571670043468475,79.73393817153745,15.038658853662607,3.9742610836059384,9.198735295299636,67.16981823801713
duck,I6IB7I4K,33.81902576883019,0.9459674799442291,84.2625036916474,16.2146334216582,4.090396427775006,9.345062110178757,68.15628414298867
duck,5BG46R6L,33.936646758540256,0.9481939321756363,83.19188086178619,15.914800337167327,4.049642474510027,9.295615059960136,68.14270042852858
duck,0PXSQFZV,32.847122323236356,0.9068928834795952,95.20307559075998,16.710544386240482,4.495166615484759,9.465388606770832,70.37645346218794
duck,V79SY2QS,29.857258495172573,0.6905403685569763,102.17401369237069,14.728556498827183,14.745541954133511,9.543975052244084,80.359750360531
duck,PP3N8C2H,33.942874708818664,0.9484402573108673,83.14840897714119,15.9002798509906,4.048308339425842,9.294241883680552,68.12947068708375
duck,GBQ8ZYEX,33.90701351591014,0.9475593793392182,83.53003756510415,15.959141816938054,4.055831491153208,9.302295612300675,68.21395013974033
duck,6ESEZM09,30.072431787120376,0.6924882596731186,103.36434807701583,14.759948642617456,14.757234702404796,9.547213110050148,80.01462667066572
duck,4P46UXOB,29.865320782306682,0.6911868903040886,102.42008995466811,14.730793271088295,14.688119609268144,9.54452741528421,80.2934625924794
duck,FSB07JW4,32.80620509834872,0.9047549760341644,95.39562225477428,16.73037650605248,4.521564256590778,9.471838963638115,70.46839795289821
duck,NNYY4UXB,29.90265299716917,0.693319766819477,102.82612747034142,14.78972571845565,13.924774821208844,9.551370920942645,80.11683005787144
duck,TLRXCHMB,33.92884001784563,0.9481960573792457,83.21230450303818,15.916773377036007,4.051342059732033,9.297050971739965,68.16518403594343
duck,Z40PA4C2,30.044139022254996,0.6907619515061378,103.44177938126938,14.730879094661272,14.874813850217743,9.54675978571887,80.01955700909237
duck,U44TA277,33.82819473253268,0.9462611216306687,84.17732155550733,16.199184967437773,4.088174710607261,9.344442250996657,68.13163877180214
duck,0WR39DHY,34.2946924531255,0.9571760395169258,79.74855999951771,15.046803804364824,3.9740393523636754,9.200114807581022,67.17136054901215
duck,5WALLVXZ,34.17234649103461,0.9557080447673798,80.72400582200042,15.57311039480808,4.001620474594772,9.27394383841307,67.16483101107018
duck,E9HOP2K3,30.087665407434862,0.694213418662548,103.86803548177087,14.78052240459214,14.411185726114516,9.548733089795522,79.88257577313868
duck,A855FQOA,34.30585839923005,0.9572827342152596,79.63720938102817,15.025964392372071,3.973151669379293,9.196282080279065,67.12328342840564
duck,49ZOTTUF,32.84348217986837,0.9066539856791497,95.23543935788005,16.710486085362444,4.49877821457053,9.466861648019549,70.36141592998666
duck,GGQYRDNS,34.167346616695774,0.9554879778623581,80.7956361798322,15.585126333021458,4.00295790994947,9.273781191325874,67.17979269191106
duck,R040JPBK,32.75935596472136,0.9026726439595223,95.40234509307489,16.794893918033768,4.6147101370305625,9.499884922357257,70.43023839766529
duck,NFM29O82,34.27629554013477,0.956783022582531,79.93197414158952,15.100277711539713,3.9765385428212814,9.206528951260294,67.23829305362723
duck,FK106DN4,29.86180784788457,0.690868666768074,102.4348015600888,14.729730760686703,14.717748616893255,9.545068459040637,80.34550926761403
duck,GZATD942,33.94637301003321,0.9485102370381355,83.13756776982068,15.89003132031123,4.048154951148429,9.293450784465024,68.11739767888515
duck,DYBBDTBJ,33.94587655286577,0.9484893503785133,83.1191857542438,15.89169168573921,4.047672304007923,9.293535296907152,68.1184216722507
duck,LVJLVPH1,34.30452740128728,0.9572629556059837,79.66911913339122,15.021349431921386,3.9731344369122006,9.195519126157407,67.12850453038052
duck,VHTV542H,29.9158433840874,0.6944482675194741,102.93007611762158,14.8014551301033,13.792563269238364,9.55112966901363,80.01480997812006
