Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,QPQXD2LH,1536,21,4,8,1.4,1.3,12,5,0
ant,I3WAAYB0,1536,21,4,8,1.4,1.3,12,5,62
ant,8PVWJYEH,1536,21,4,8,1.4,1.3,12,5,125
ant,BW4A3LPA,1536,21,4,8,1.4,1.3,12,5,187
ant,JIGNI9LL,1536,21,4,8,1.4,1.3,12,5,250
ant,CU2N8HC4,1536,21,4,8,1.4,1.3,16,5,0
ant,38O1OTIX,1536,21,4,8,1.4,1.3,16,5,62
ant,0WWFZQSX,1536,21,4,8,1.4,1.3,16,5,125
ant,K1TNUA74,1536,21,4,8,1.4,1.3,16,5,187
ant,TH428J4T,1536,21,4,8,1.4,1.3,16,5,250
ant,B9EI36M3,1536,21,4,12,1.4,1.3,1,5,0
ant,KUEVEVN6,1536,21,4,12,1.4,1.3,1,5,62
ant,E671WOZ9,1536,21,4,12,1.4,1.3,1,5,125
ant,NXBE3PQ3,1536,21,4,12,1.4,1.3,1,5,187
ant,FBXAROAI,1536,21,4,12,1.4,1.3,1,5,250
ant,PA37LBP4,1536,21,4,12,1.4,1.3,4,5,0
ant,NZIIMMUL,1536,21,4,12,1.4,1.3,4,5,62
ant,HAE66RSV,1536,21,4,12,1.4,1.3,4,5,125
ant,E28V0FFA,1536,21,4,12,1.4,1.3,4,5,187
ant,DNA0QP7E,1536,21,4,12,1.4,1.3,4,5,250
ant,OLXKSIZ1,1536,21,4,12,1.4,1.3,8,5,0
ant,4V01D2V3,1536,21,4,12,1.4,1.3,8,5,62
ant,G916S848,1536,21,4,12,1.4,1.3,8,5,125
ant,GSIXAH2A,1536,21,4,12,1.4,1.3,8,5,187
ant,JYCQBPLN,1536,21,4,12,1.4,1.3,8,5,250
ant,K3AUDTMU,1536,21,4,12,1.4,1.3,12,5,0
ant,CZUQV070,1536,21,4,12,1.4,1.3,12,5,62
ant,EAEXUSL8,1536,21,4,12,1.4,1.3,12,5,125
ant,G3IJO8BY,1536,21,4,12,1.4,1.3,12,5,187
ant,FKVIXTD8,1536,21,4,12,1.4,1.3,12,5,250
ant,O8OISSQU,1536,21,4,12,1.4,1.3,16,5,0
ant,32MKLP6P,1536,21,4,12,1.4,1.3,16,5,62
ant,G6MRN726,1536,21,4,12,1.4,1.3,16,5,125
ant,QKWRWFVL,1536,21,4,12,1.4,1.3,16,5,187
ant,DCNAAKSR,1536,21,4,12,1.4,1.3,16,5,250
ant,PX4RDP07,1536,21,4,16,1.4,1.3,1,5,0
ant,I8JLUWSP,1536,21,4,16,1.4,1.3,1,5,62
ant,MCVJNBZI,1536,21,4,16,1.4,1.3,1,5,125
ant,74N8VH7Z,1536,21,4,16,1.4,1.3,1,5,187
ant,4WFE8MFQ,1536,21,4,16,1.4,1.3,1,5,250
ant,R7SR69O7,1536,21,4,16,1.4,1.3,4,5,0
ant,ZHZ2AYWV,1536,21,4,16,1.4,1.3,4,5,62
ant,WCS4U0XO,1536,21,4,16,1.4,1.3,4,5,125
ant,QAXGLGTM,1536,21,4,16,1.4,1.3,4,5,187
ant,VL5TWZ7N,1536,21,4,16,1.4,1.3,4,5,250
ant,HE6LPJBD,1536,21,4,16,1.4,1.3,8,5,0
ant,ZJOI64P1,1536,21,4,16,1.4,1.3,8,5,62
ant,3X5VJY0Q,1536,21,4,16,1.4,1.3,8,5,125
ant,VQ6WJDLH,1536,21,4,16,1.4,1.3,8,5,187
ant,5N37EV6H,1536,21,4,16,1.4,1.3,8,5,250
ant,E64XQU3I,1536,21,4,16,1.4,1.3,12,5,0
ant,EWKY7T3G,1536,21,4,16,1.4,1.3,12,5,62
ant,QAGJSNGZ,1536,21,4,16,1.4,1.3,12,5,125
ant,G34EJUPO,1536,21,4,16,1.4,1.3,12,5,187
ant,A3Z3OMKN,1536,21,4,16,1.4,1.3,12,5,250
ant,SCYO687G,1536,21,4,16,1.4,1.3,16,5,0
ant,0OJKDFSZ,1536,21,4,16,1.4,1.3,16,5,62
ant,8VSSKDJ8,1536,21,4,16,1.4,1.3,16,5,125
ant,GAE23KYR,1536,21,4,16,1.4,1.3,16,5,187
ant,G06GHU1S,1536,21,4,16,1.4,1.3,16,5,250
ant,3KXUNRFW,3072,21,4,0,1.4,1.3,1,5,0
ant,12PJD30E,3072,21,4,0,1.4,1.3,1,5,62
ant,OKY8NTMD,3072,21,4,0,1.4,1.3,1,5,125
ant,S3HEHOGW,3072,21,4,0,1.4,1.3,1,5,187
ant,A6JD28VD,3072,21,4,0,1.4,1.3,1,5,250
ant,LS6SVDTQ,3072,21,4,0,1.4,1.3,4,5,0
ant,KJ5TL1IM,3072,21,4,0,1.4,1.3,4,5,62
ant,UK56VEE0,3072,21,4,0,1.4,1.3,4,5,125
ant,G25TJ26Z,3072,21,4,0,1.4,1.3,4,5,187
ant,D01UGEEA,3072,21,4,0,1.4,1.3,4,5,250
ant,9GSPGQ69,3072,21,4,0,1.4,1.3,8,5,0
ant,UCT24S75,3072,21,4,0,1.4,1.3,8,5,62
ant,5HVSBURS,3072,21,4,0,1.4,1.3,8,5,125
ant,5SH281RI,3072,21,4,0,1.4,1.3,8,5,187
ant,OFASXH4X,3072,21,4,0,1.4,1.3,8,5,250
ant,86NCPGVO,3072,21,4,0,1.4,1.3,12,5,0
ant,B1VHS72L,3072,21,4,0,1.4,1.3,12,5,62
ant,ZBUR8PG8,3072,21,4,0,1.4,1.3,12,5,125
ant,H2IIBMTP,3072,21,4,0,1.4,1.3,12,5,187
ant,7GR3CGQG,3072,21,4,0,1.4,1.3,12,5,250
ant,V65PC00Q,3072,21,4,0,1.4,1.3,16,5,0
ant,VBMF7CSD,3072,21,4,0,1.4,1.3,16,5,62
ant,T4B3Y0P0,3072,21,4,0,1.4,1.3,16,5,125
ant,GFNESL2Q,3072,21,4,0,1.4,1.3,16,5,187
ant,KD0YU614,3072,21,4,0,1.4,1.3,16,5,250
ant,0B26HXSD,3072,21,4,4,1.4,1.3,1,5,0
ant,5XGJ3293,3072,21,4,4,1.4,1.3,1,5,62
ant,6GYNYY7X,3072,21,4,4,1.4,1.3,1,5,125
ant,11IS3BNF,3072,21,4,4,1.4,1.3,1,5,187
ant,2QDYRVZH,3072,21,4,4,1.4,1.3,1,5,250
ant,LYJCPTRF,3072,21,4,4,1.4,1.3,4,5,0
ant,RZTWMYEJ,3072,21,4,4,1.4,1.3,4,5,62
ant,88BO9YX3,3072,21,4,4,1.4,1.3,4,5,125
ant,TA4SOXGQ,3072,21,4,4,1.4,1.3,4,5,187
ant,72YTD9K4,3072,21,4,4,1.4,1.3,4,5,250
ant,ZPS78R9F,3072,21,4,4,1.4,1.3,8,5,0
ant,P1Z6J4FU,3072,21,4,4,1.4,1.3,8,5,62
ant,X71AKKRW,3072,21,4,4,1.4,1.3,8,5,125
ant,TSHVIKMB,3072,21,4,4,1.4,1.3,8,5,187
