Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
referee,TFXTMTHT,5184,12,4,0,1.4,1.3,16,5,250
referee,QHYXJX4S,14016,12,4,0,1.4,1.3,16,5,250
referee,NRJJDQXZ,20000,12,4,0,1.4,1.3,16,5,250
referee,OJ8LS8UY,576,37,4,0,1.4,1.3,16,5,0
referee,0B7BDXUD,5184,37,4,0,1.4,1.3,16,5,0
referee,QMA10E8S,14016,37,4,0,1.4,1.3,16,5,0
referee,T1Y7SVAS,20000,37,4,0,1.4,1.3,16,5,0
referee,XT6N8N9K,576,37,4,0,1.4,1.3,16,5,10
referee,UON7NF65,5184,37,4,0,1.4,1.3,16,5,10
referee,AHLJBQDW,14016,37,4,0,1.4,1.3,16,5,10
referee,TOLOONPM,20000,37,4,0,1.4,1.3,16,5,10
referee,8AASARAK,576,37,4,0,1.4,1.3,16,5,40
referee,FR8KKRH1,5184,37,4,0,1.4,1.3,16,5,40
referee,KVQB0QU0,14016,37,4,0,1.4,1.3,16,5,40
referee,ZE5MHLXP,20000,37,4,0,1.4,1.3,16,5,40
referee,19APLG7S,576,37,4,0,1.4,1.3,16,5,250
referee,F18COA46,5184,37,4,0,1.4,1.3,16,5,250
referee,VDNFRE9I,14016,37,4,0,1.4,1.3,16,5,250
referee,VNKNQHOF,20000,37,4,0,1.4,1.3,16,5,250
referee,TKYACOZ0,576,50,4,0,1.4,1.3,16,5,0
referee,X0SCIJTD,5184,50,4,0,1.4,1.3,16,5,0
referee,XYOQCR2Z,14016,50,4,0,1.4,1.3,16,5,0
referee,Q3V8DW5P,20000,50,4,0,1.4,1.3,16,5,0
referee,DO52JZEQ,576,50,4,0,1.4,1.3,16,5,10
referee,UUVEPCM0,5184,50,4,0,1.4,1.3,16,5,10
referee,S2N5L0DO,14016,50,4,0,1.4,1.3,16,5,10
referee,17IZ2356,20000,50,4,0,1.4,1.3,16,5,10
referee,FEBB344P,576,50,4,0,1.4,1.3,16,5,40
referee,N1VKJXCU,5184,50,4,0,1.4,1.3,16,5,40
referee,75CBK1AQ,14016,50,4,0,1.4,1.3,16,5,40
referee,ORUYQYH5,20000,50,4,0,1.4,1.3,16,5,40
referee,1U60J3B3,576,50,4,0,1.4,1.3,16,5,250
referee,6B5R5S4V,5184,50,4,0,1.4,1.3,16,5,250
referee,HMJFJMUY,14016,50,4,0,1.4,1.3,16,5,250
referee,2NKA4VRD,20000,50,4,0,1.4,1.3,16,5,250
referee,2Q1T6P4X,576,0,4,4,1.4,1.3,1,5,0
referee,P738BMST,5184,0,4,4,1.4,1.3,1,5,0
referee,Q8J61R6J,14016,0,4,4,1.4,1.3,1,5,0
referee,JUE5JEQL,20000,0,4,4,1.4,1.3,1,5,0
referee,KQMCQ11V,576,0,4,4,1.4,1.3,1,5,10
referee,V7IPZBK7,5184,0,4,4,1.4,1.3,1,5,10
referee,C7LJGRGF,14016,0,4,4,1.4,1.3,1,5,10
referee,QPKJGKGE,20000,0,4,4,1.4,1.3,1,5,10
referee,Q8VCVKI5,576,0,4,4,1.4,1.3,1,5,40
referee,GKPG7L4O,5184,0,4,4,1.4,1.3,1,5,40
referee,GNCFKSW6,14016,0,4,4,1.4,1.3,1,5,40
referee,C5BGL417,20000,0,4,4,1.4,1.3,1,5,40
referee,NLF29RSA,576,0,4,4,1.4,1.3,1,5,250
referee,MN18LAM4,5184,0,4,4,1.4,1.3,1,5,250
referee,691TY2N3,14016,0,4,4,1.4,1.3,1,5,250
referee,8UE48O21,20000,0,4,4,1.4,1.3,1,5,250
referee,SL47769S,576,12,4,4,1.4,1.3,1,5,0
referee,YK9DGVU6,5184,12,4,4,1.4,1.3,1,5,0
referee,VGVXWFUN,14016,12,4,4,1.4,1.3,1,5,0
referee,DHHTU227,20000,12,4,4,1.4,1.3,1,5,0
referee,1ARL70G1,576,12,4,4,1.4,1.3,1,5,10
referee,474Z0KPO,5184,12,4,4,1.4,1.3,1,5,10
referee,OI9GDLWT,14016,12,4,4,1.4,1.3,1,5,10
referee,3XSSWAR8,20000,12,4,4,1.4,1.3,1,5,10
referee,UAMFN375,576,12,4,4,1.4,1.3,1,5,40
referee,M3G07JTV,5184,12,4,4,1.4,1.3,1,5,40
referee,DPNK7J1E,14016,12,4,4,1.4,1.3,1,5,40
referee,97ISJOX3,20000,12,4,4,1.4,1.3,1,5,40
referee,ERCJC8LS,576,12,4,4,1.4,1.3,1,5,250
referee,L26E2BKN,5184,12,4,4,1.4,1.3,1,5,250
referee,5DIDCHFG,14016,12,4,4,1.4,1.3,1,5,250
referee,00RB6RDY,20000,12,4,4,1.4,1.3,1,5,250
referee,XVU91JZX,576,37,4,4,1.4,1.3,1,5,0
referee,K3WDEL98,5184,37,4,4,1.4,1.3,1,5,0
referee,OYR4CXAN,14016,37,4,4,1.4,1.3,1,5,0
referee,D72M7LNM,20000,37,4,4,1.4,1.3,1,5,0
referee,BJ8W4KQ5,576,37,4,4,1.4,1.3,1,5,10
referee,0348GUVG,5184,37,4,4,1.4,1.3,1,5,10
referee,DNENS3ZG,14016,37,4,4,1.4,1.3,1,5,10
referee,GDT3FDJ9,20000,37,4,4,1.4,1.3,1,5,10
referee,UCSLLGMK,576,37,4,4,1.4,1.3,1,5,40
referee,D0Z3W21G,5184,37,4,4,1.4,1.3,1,5,40
referee,56XMLCYA,14016,37,4,4,1.4,1.3,1,5,40
referee,DY7XW26U,20000,37,4,4,1.4,1.3,1,5,40
referee,OK55NXHI,576,37,4,4,1.4,1.3,1,5,250
referee,41KDVDED,5184,37,4,4,1.4,1.3,1,5,250
referee,RLBYGF0U,14016,37,4,4,1.4,1.3,1,5,250
referee,4LHU6J16,20000,37,4,4,1.4,1.3,1,5,250
referee,Q7I3X3CV,576,50,4,4,1.4,1.3,1,5,0
referee,EWKHACTL,5184,50,4,4,1.4,1.3,1,5,0
referee,KCW9L5FT,14016,50,4,4,1.4,1.3,1,5,0
referee,BRICCGTH,20000,50,4,4,1.4,1.3,1,5,0
referee,BB3W5XUI,576,50,4,4,1.4,1.3,1,5,10
referee,HHC0GHM3,5184,50,4,4,1.4,1.3,1,5,10
referee,SMCVD1C5,14016,50,4,4,1.4,1.3,1,5,10
referee,ZWSYR195,20000,50,4,4,1.4,1.3,1,5,10
referee,CW0WG2OJ,576,50,4,4,1.4,1.3,1,5,40
referee,62K0DUYS,5184,50,4,4,1.4,1.3,1,5,40
referee,DPDYLZXC,14016,50,4,4,1.4,1.3,1,5,40
referee,0E3D3OH9,20000,50,4,4,1.4,1.3,1,5,40
referee,C1MAMR5S,576,50,4,4,1.4,1.3,1,5,250
referee,A40D0KM1,5184,50,4,4,1.4,1.3,1,5,250
referee,U15N5XA5,14016,50,4,4,1.4,1.3,1,5,250
referee,5K0DHTE6,20000,50,4,4,1.4,1.3,1,5,250
referee,QKCDTLO1,576,0,4,4,1.4,1.3,4,5,0
referee,O3BPFF6L,5184,0,4,4,1.4,1.3,4,5,0
referee,J6ETLQD2,14016,0,4,4,1.4,1.3,4,5,0
referee,2DLO5469,20000,0,4,4,1.4,1.3,4,5,0
referee,D2NLXB3T,576,0,4,4,1.4,1.3,4,5,10
referee,886SLYBW,5184,0,4,4,1.4,1.3,4,5,10
referee,MQNUVWA5,14016,0,4,4,1.4,1.3,4,5,10
referee,70QOXFSP,20000,0,4,4,1.4,1.3,4,5,10
referee,S5SWNY1B,576,0,4,4,1.4,1.3,4,5,40
referee,I9EUKYBF,5184,0,4,4,1.4,1.3,4,5,40
referee,KOIWTBLK,14016,0,4,4,1.4,1.3,4,5,40
referee,PQR3F9M5,20000,0,4,4,1.4,1.3,4,5,40
referee,Q0ZFIFVG,576,0,4,4,1.4,1.3,4,5,250
referee,9TGS24TB,5184,0,4,4,1.4,1.3,4,5,250
referee,SQI1MUYL,14016,0,4,4,1.4,1.3,4,5,250
referee,BWJELNWR,20000,0,4,4,1.4,1.3,4,5,250
referee,WQT9I96E,576,12,4,4,1.4,1.3,4,5,0
referee,12IKQSAG,5184,12,4,4,1.4,1.3,4,5,0
