Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,VK0KABU1,3072,21,4,12,1.4,1.3,1,5,125
ant,IJAD38XJ,3072,21,4,12,1.4,1.3,1,5,187
ant,31IS4TD6,3072,21,4,12,1.4,1.3,1,5,250
ant,CU34GPTH,3072,21,4,12,1.4,1.3,4,5,0
ant,T6A18VK6,3072,21,4,12,1.4,1.3,4,5,62
ant,BMOP3XIN,3072,21,4,12,1.4,1.3,4,5,125
ant,CMSGI1BM,3072,21,4,12,1.4,1.3,4,5,187
ant,B4OV6V2O,3072,21,4,12,1.4,1.3,4,5,250
ant,1NEZW8QY,3072,21,4,12,1.4,1.3,8,5,0
ant,43GC323D,3072,21,4,12,1.4,1.3,8,5,62
ant,HIKFE8OB,3072,21,4,12,1.4,1.3,8,5,125
ant,2Z6E66ML,3072,21,4,12,1.4,1.3,8,5,187
ant,QF9MW5C7,3072,21,4,12,1.4,1.3,8,5,250
ant,9M3YKWMA,3072,21,4,12,1.4,1.3,12,5,0
ant,XDJG82W1,3072,21,4,12,1.4,1.3,12,5,62
ant,J9L7X1XI,3072,21,4,12,1.4,1.3,12,5,125
ant,EIDIPKDT,3072,21,4,12,1.4,1.3,12,5,187
ant,PVWJ74A1,3072,21,4,12,1.4,1.3,12,5,250
ant,XFBPPFXJ,3072,21,4,12,1.4,1.3,16,5,0
ant,ZS4FZ2W0,3072,21,4,12,1.4,1.3,16,5,62
ant,XILBK8NU,3072,21,4,12,1.4,1.3,16,5,125
ant,OLLQDJCZ,3072,21,4,12,1.4,1.3,16,5,187
ant,9AQ0ZECJ,3072,21,4,12,1.4,1.3,16,5,250
ant,S0324UGC,3072,21,4,16,1.4,1.3,1,5,0
ant,350G0ZY4,3072,21,4,16,1.4,1.3,1,5,62
ant,IJ8R1VRZ,3072,21,4,16,1.4,1.3,1,5,125
ant,CSGH2NP8,3072,21,4,16,1.4,1.3,1,5,187
ant,IGWD4UHP,3072,21,4,16,1.4,1.3,1,5,250
ant,MZLF6EES,3072,21,4,16,1.4,1.3,4,5,0
ant,DOHFWRN5,3072,21,4,16,1.4,1.3,4,5,62
