Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF,Compression Ratio (%)
referee,L4FW9QK6,576,21,4,16,1.4,1.0,1,5,40,34.46064898411863,0.9018430063128472,102.0453386140046,21.637252254752752,6.543271271031422,86.79000519265772
referee,V3077CL8,576,21,4,16,1.4,1.5,1,5,40,34.45881725657929,0.9018099936842918,101.97590853949652,21.648921839933287,6.535685075397279,86.79505562907168
referee,86TF5EL6,576,21,4,16,1.4,2.0,1,5,40,34.47128240276208,0.9017252638936044,102.30664852792242,21.61204724314949,6.546984288455406,86.78702170581492
referee,PS4R0CMU,576,21,4,16,1.4,0.0,4,5,40,34.44784269160844,0.9006185585260391,102.43060955825617,21.46366897278173,6.751152338888652,86.75343851599342
referee,CH4EFUZV,576,21,4,16,1.4,0.5,4,5,40,34.44314317127229,0.9005090191960334,102.07545298996918,21.42524372243271,6.758898454993685,86.81985270297903
referee,2ZZ24LFP,576,21,4,16,1.4,1.0,4,5,40,34.42811460583392,0.9000430500507355,102.46812377628277,21.470178153748535,6.760573184274573,86.7897144291095
referee,V39A1CDM,576,21,4,16,1.4,1.5,4,5,40,34.448088109738094,0.9005755004286766,102.62273329716432,21.421853959636625,6.748334105383477,86.75840678010027
referee,0L0VB827,576,21,4,16,1.4,2.0,4,5,40,34.4374633280151,0.9001433730125428,102.26954796489196,21.43133488664619,6.77086626385845,86.77355808934215
referee,GSCS4OS0,576,21,4,16,1.4,0.0,8,5,40,34.458685801673944,0.900610126554966,102.6196573567708,21.431865707453976,6.764925476597868,86.82924562977647
referee,UIJ11R2I,576,21,4,16,1.4,0.5,8,5,40,34.44594870626758,0.9006801819801331,102.6884924479167,21.48847176478363,6.748623313873744,86.77218644390807
referee,XTQEA1OY,576,21,4,16,1.4,1.0,8,5,40,34.45371112544833,0.9008724647760392,102.10591786144865,21.454255669308733,6.752453004841664,86.79095965560954
referee,W38U67WH,576,21,4,16,1.4,1.5,8,5,40,34.44423607591041,0.9004777872562408,102.59894078776044,21.39641239923428,6.774113861602175,86.77141528841058
referee,MQBYUX88,576,21,4,16,1.4,2.0,8,5,40,34.43880013778175,0.9001614764332772,102.8696553722994,21.385589369355237,6.791509696219491,86.82224834177865
referee,CBZ5AUC9,576,21,4,16,1.4,0.0,12,5,40,34.458352348553355,0.9008415704965592,102.56780498046872,21.456693629402544,6.755333807336468,86.77580834636765
referee,OFGYQEOO,576,21,4,16,1.4,0.5,12,5,40,34.44652980697069,0.9004834771156311,101.8144705222801,21.46739260341235,6.771661607801533,86.80353833954419
referee,6BIGHN58,576,21,4,16,1.4,1.0,12,5,40,34.44976457661699,0.9007339909672736,102.5779045910494,21.411568609621327,6.7689695806430725,86.76865935564902
referee,KFMDAUFS,576,21,4,16,1.4,1.5,12,5,40,34.43843668823642,0.9000580710172653,102.18658074483994,21.42841145968685,6.794414254959845,86.86425735355235
