Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,52G110DT,1536,21,4,4,1.4,1.3,16,5,0,33.294902806773,0.9363992724252578,94.87185537037992,18.809851370847387,25.46005053505386
ant,HLZ1TXO6,1536,21,4,4,1.4,1.3,16,5,62,33.25464121679712,0.9354991565889388,94.83174328372604,18.44312275113757,25.412535941021957
ant,MMSRO872,1536,21,4,4,1.4,1.3,16,5,125,33.24443241121896,0.9353942002230022,96.2373655077717,18.330535409001666,25.52335420502424
ant,J54VUI4K,1536,21,4,4,1.4,1.3,16,5,187,33.250435845347944,0.935406897495042,95.8252201989186,18.492086492849765,25.19895840502331
ant,XNSC92MS,1536,21,4,4,1.4,1.3,16,5,250,33.250786752545245,0.9354101277109402,95.93138035708796,18.498429571020047,25.45193899790637
ant,D6PDBF21,1536,21,4,8,1.4,1.3,1,5,0,33.29147181939542,0.9362192056072292,95.28317040016934,18.83351455111168,25.06202885092595
ant,ZS4WE69T,1536,21,4,8,1.4,1.3,1,5,62,33.26230375625625,0.9353859765612664,97.17140591890085,18.647186266844532,24.03099682830912
ant,16V302SG,1536,21,4,8,1.4,1.3,1,5,125,33.25222549667348,0.9353097069322768,97.11739775994651,18.619455439188695,24.341565348104
ant,O81EL6OR,1536,21,4,8,1.4,1.3,1,5,187,33.250341285477646,0.9353090747078852,96.81604279432317,18.53747391513696,24.515625208847336
ant,5ERZ5QM8,1536,21,4,8,1.4,1.3,1,5,250,33.25061993391478,0.9353040139473492,96.8365335768112,18.52521409930058,24.52819977239365
ant,KIEXUFCQ,1536,21,4,8,1.4,1.3,4,5,0,33.30016770993736,0.9362791767760889,94.9973648455734,18.74332518278914,25.22585842374009
ant,0QP01BV0,1536,21,4,8,1.4,1.3,4,5,62,33.25948757519521,0.9355124837130456,96.54106278503316,18.58593475156854,24.201172993235375
